Date,Month,Quarter,Category,Sub_Category,Type,Amount,Payment_Mode,City,Notes
2024-01-05,January,Q1,Salary,Monthly Salary,Income,85000,Bank Transfer,Mumbai,Primary job
2024-01-10,January,Q1,Freelance,Web Consulting,Income,12000,UPI,Mumbai,Side income
2024-01-12,January,Q1,Investments,Dividend Income,Income,3500,Bank Transfer,Mumbai,Mutual fund dividend
2024-01-03,January,Q1,Housing,Rent,Expense,22000,Bank Transfer,Mumbai,Monthly rent
2024-01-05,January,Q1,Housing,Electricity Bill,Expense,1800,UPI,Mumbai,
2024-01-06,January,Q1,Housing,Internet,Expense,999,Auto Debit,Mumbai,
2024-01-07,January,Q1,Food,Groceries,Expense,6500,UPI,Mumbai,
2024-01-08,January,Q1,Food,Dining Out,Expense,3200,Credit Card,Mumbai,
2024-01-09,January,Q1,Food,Food Delivery,Expense,2100,UPI,Mumbai,Swiggy Zomato
2024-01-10,January,Q1,Transport,Metro Pass,Expense,500,UPI,Mumbai,
2024-01-11,January,Q1,Transport,Cab/Auto,Expense,1800,UPI,Mumbai,
2024-01-12,January,Q1,Transport,Fuel,Expense,2500,Cash,Mumbai,
2024-01-13,January,Q1,Healthcare,Medical Insurance,Expense,2500,Auto Debit,Mumbai,
2024-01-14,January,Q1,Healthcare,Doctor Visit,Expense,800,Cash,Mumbai,
2024-01-15,January,Q1,Education,CMA Course Fees,Expense,8000,Credit Card,Mumbai,IMA Fees
2024-01-16,January,Q1,Education,Books,Expense,1200,UPI,Mumbai,
2024-01-17,January,Q1,Entertainment,OTT Subscriptions,Expense,649,Credit Card,Mumbai,Netflix+Hotstar
2024-01-18,January,Q1,Entertainment,Movies,Expense,900,UPI,Mumbai,
2024-01-19,January,Q1,Shopping,Clothing,Expense,3500,Credit Card,Mumbai,
2024-01-20,January,Q1,Shopping,Electronics,Expense,0,Credit Card,Mumbai,
2024-01-21,January,Q1,Investments,SIP Mutual Fund,Expense,10000,Auto Debit,Mumbai,Long term investment
2024-01-22,January,Q1,Investments,PPF,Expense,5000,Bank Transfer,Mumbai,Tax saving
2024-01-23,January,Q1,Personal Care,Grooming,Expense,800,UPI,Mumbai,
2024-01-24,January,Q1,Savings,Emergency Fund,Expense,3000,Bank Transfer,Mumbai,FD
2024-02-05,February,Q1,Salary,Monthly Salary,Income,85000,Bank Transfer,Mumbai,
2024-02-07,February,Q1,Freelance,Content Writing,Income,8000,UPI,Mumbai,
2024-02-03,February,Q1,Housing,Rent,Expense,22000,Bank Transfer,Mumbai,
2024-02-05,February,Q1,Housing,Electricity Bill,Expense,1600,UPI,Mumbai,
2024-02-06,February,Q1,Housing,Internet,Expense,999,Auto Debit,Mumbai,
2024-02-07,February,Q1,Food,Groceries,Expense,5800,UPI,Mumbai,
2024-02-08,February,Q1,Food,Dining Out,Expense,4500,Credit Card,Mumbai,Valentines Day
2024-02-09,February,Q1,Food,Food Delivery,Expense,1800,UPI,Mumbai,
2024-02-10,February,Q1,Transport,Metro Pass,Expense,500,UPI,Mumbai,
2024-02-11,February,Q1,Transport,Cab/Auto,Expense,1600,UPI,Mumbai,
2024-02-12,February,Q1,Transport,Fuel,Expense,2500,Cash,Mumbai,
2024-02-13,February,Q1,Healthcare,Medical Insurance,Expense,2500,Auto Debit,Mumbai,
2024-02-14,February,Q1,Entertainment,Movies,Expense,1800,Credit Card,Mumbai,Valentines
2024-02-15,February,Q1,Entertainment,OTT Subscriptions,Expense,649,Credit Card,Mumbai,
2024-02-16,February,Q1,Education,CMA Course Fees,Expense,8000,Credit Card,Mumbai,
2024-02-17,February,Q1,Shopping,Gifts,Expense,2500,Credit Card,Mumbai,Valentines gift
2024-02-18,February,Q1,Investments,SIP Mutual Fund,Expense,10000,Auto Debit,Mumbai,
2024-02-19,February,Q1,Investments,PPF,Expense,5000,Bank Transfer,Mumbai,
2024-02-20,February,Q1,Personal Care,Grooming,Expense,600,UPI,Mumbai,
2024-02-21,February,Q1,Savings,Emergency Fund,Expense,3000,Bank Transfer,Mumbai,
2024-03-05,March,Q1,Salary,Monthly Salary,Income,85000,Bank Transfer,Mumbai,
2024-03-06,March,Q1,Freelance,Web Consulting,Income,15000,UPI,Mumbai,Big project
2024-03-07,March,Q1,Investments,Dividend Income,Income,4200,Bank Transfer,Mumbai,
2024-03-03,March,Q1,Housing,Rent,Expense,22000,Bank Transfer,Mumbai,
2024-03-05,March,Q1,Housing,Electricity Bill,Expense,2100,UPI,Mumbai,Summer starts
2024-03-06,March,Q1,Housing,Internet,Expense,999,Auto Debit,Mumbai,
2024-03-07,March,Q1,Food,Groceries,Expense,7200,UPI,Mumbai,
2024-03-08,March,Q1,Food,Dining Out,Expense,3800,Credit Card,Mumbai,
2024-03-09,March,Q1,Food,Food Delivery,Expense,2200,UPI,Mumbai,
2024-03-10,March,Q1,Transport,Metro Pass,Expense,500,UPI,Mumbai,
2024-03-11,March,Q1,Transport,Cab/Auto,Expense,2000,UPI,Mumbai,
2024-03-12,March,Q1,Transport,Fuel,Expense,2800,Cash,Mumbai,
2024-03-13,March,Q1,Healthcare,Medical Insurance,Expense,2500,Auto Debit,Mumbai,
2024-03-14,March,Q1,Healthcare,Medicines,Expense,1200,Cash,Mumbai,
2024-03-15,March,Q1,Education,CMA Course Fees,Expense,8000,Credit Card,Mumbai,
2024-03-16,March,Q1,Education,Online Course,Expense,2999,Credit Card,Mumbai,Udemy Financial Modelling
2024-03-17,March,Q1,Entertainment,OTT Subscriptions,Expense,649,Credit Card,Mumbai,
2024-03-18,March,Q1,Shopping,Clothing,Expense,5500,Credit Card,Mumbai,Summer shopping
2024-03-19,March,Q1,Investments,SIP Mutual Fund,Expense,10000,Auto Debit,Mumbai,
2024-03-20,March,Q1,Investments,PPF,Expense,5000,Bank Transfer,Mumbai,
2024-03-21,March,Q1,Investments,Stocks,Expense,8000,Bank Transfer,Mumbai,Direct equity
2024-03-22,March,Q1,Personal Care,Grooming,Expense,900,UPI,Mumbai,
2024-03-23,March,Q1,Savings,Emergency Fund,Expense,5000,Bank Transfer,Mumbai,
2024-04-05,April,Q2,Salary,Monthly Salary,Income,85000,Bank Transfer,Mumbai,
2024-04-08,April,Q2,Freelance,Data Analysis,Income,18000,UPI,Mumbai,
2024-04-03,April,Q2,Housing,Rent,Expense,22000,Bank Transfer,Mumbai,
2024-04-05,April,Q2,Housing,Electricity Bill,Expense,2800,UPI,Mumbai,Hot month
2024-04-06,April,Q2,Housing,Internet,Expense,999,Auto Debit,Mumbai,
2024-04-07,April,Q2,Food,Groceries,Expense,6800,UPI,Mumbai,
2024-04-08,April,Q2,Food,Dining Out,Expense,5200,Credit Card,Mumbai,
2024-04-09,April,Q2,Food,Food Delivery,Expense,2800,UPI,Mumbai,
2024-04-10,April,Q2,Transport,Metro Pass,Expense,500,UPI,Mumbai,
2024-04-11,April,Q2,Transport,Cab/Auto,Expense,2200,UPI,Mumbai,
2024-04-12,April,Q2,Transport,Fuel,Expense,3000,Cash,Mumbai,
2024-04-13,April,Q2,Healthcare,Medical Insurance,Expense,2500,Auto Debit,Mumbai,
2024-04-14,April,Q2,Travel,Weekend Trip,Expense,8500,Credit Card,Goa,Goa trip
2024-04-15,April,Q2,Education,CMA Exam Fees,Expense,15000,Credit Card,Mumbai,Part 1 exam
2024-04-16,April,Q2,Entertainment,OTT Subscriptions,Expense,649,Credit Card,Mumbai,
2024-04-17,April,Q2,Entertainment,Concert,Expense,3500,Credit Card,Mumbai,
2024-04-18,April,Q2,Shopping,Electronics,Expense,12000,Credit Card,Mumbai,Headphones
2024-04-19,April,Q2,Investments,SIP Mutual Fund,Expense,10000,Auto Debit,Mumbai,
2024-04-20,April,Q2,Investments,PPF,Expense,5000,Bank Transfer,Mumbai,
2024-04-21,April,Q2,Personal Care,Grooming,Expense,700,UPI,Mumbai,
2024-04-22,April,Q2,Savings,Emergency Fund,Expense,2000,Bank Transfer,Mumbai,
2024-05-05,May,Q2,Salary,Monthly Salary,Income,85000,Bank Transfer,Mumbai,
2024-05-06,May,Q2,Freelance,Web Consulting,Income,10000,UPI,Mumbai,
2024-05-03,May,Q2,Housing,Rent,Expense,22000,Bank Transfer,Mumbai,
2024-05-05,May,Q2,Housing,Electricity Bill,Expense,3200,UPI,Mumbai,AC usage
2024-05-06,May,Q2,Housing,Internet,Expense,999,Auto Debit,Mumbai,
2024-05-07,May,Q2,Food,Groceries,Expense,7000,UPI,Mumbai,
2024-05-08,May,Q2,Food,Dining Out,Expense,4200,Credit Card,Mumbai,
2024-05-09,May,Q2,Food,Food Delivery,Expense,3100,UPI,Mumbai,
2024-05-10,May,Q2,Transport,Metro Pass,Expense,500,UPI,Mumbai,
2024-05-11,May,Q2,Transport,Cab/Auto,Expense,1900,UPI,Mumbai,
2024-05-12,May,Q2,Transport,Fuel,Expense,2700,Cash,Mumbai,
2024-05-13,May,Q2,Healthcare,Medical Insurance,Expense,2500,Auto Debit,Mumbai,
2024-05-14,May,Q2,Healthcare,Eye Checkup,Expense,1500,Cash,Mumbai,
2024-05-15,May,Q2,Education,CMA Course Fees,Expense,8000,Credit Card,Mumbai,
2024-05-16,May,Q2,Entertainment,OTT Subscriptions,Expense,649,Credit Card,Mumbai,
2024-05-17,May,Q2,Shopping,Clothing,Expense,2800,UPI,Mumbai,
2024-05-18,May,Q2,Investments,SIP Mutual Fund,Expense,12000,Auto Debit,Mumbai,Increased SIP
2024-05-19,May,Q2,Investments,PPF,Expense,5000,Bank Transfer,Mumbai,
2024-05-20,May,Q2,Investments,Stocks,Expense,10000,Bank Transfer,Mumbai,
2024-05-21,May,Q2,Personal Care,Grooming,Expense,800,UPI,Mumbai,
2024-05-22,May,Q2,Savings,Emergency Fund,Expense,3000,Bank Transfer,Mumbai,
2024-06-05,June,Q2,Salary,Monthly Salary,Income,85000,Bank Transfer,Mumbai,
2024-06-06,June,Q2,Freelance,Data Analysis,Income,22000,UPI,Mumbai,Premium project
2024-06-07,June,Q2,Investments,Dividend Income,Income,5100,Bank Transfer,Mumbai,
2024-06-03,June,Q2,Housing,Rent,Expense,22000,Bank Transfer,Mumbai,
2024-06-05,June,Q2,Housing,Electricity Bill,Expense,3800,UPI,Mumbai,Peak summer
2024-06-06,June,Q2,Housing,Internet,Expense,999,Auto Debit,Mumbai,
2024-06-07,June,Q2,Food,Groceries,Expense,6200,UPI,Mumbai,
2024-06-08,June,Q2,Food,Dining Out,Expense,3500,Credit Card,Mumbai,
2024-06-09,June,Q2,Food,Food Delivery,Expense,2400,UPI,Mumbai,
2024-06-10,June,Q2,Transport,Metro Pass,Expense,500,UPI,Mumbai,
2024-06-11,June,Q2,Transport,Cab/Auto,Expense,2100,UPI,Mumbai,
2024-06-12,June,Q2,Transport,Fuel,Expense,2600,Cash,Mumbai,
2024-06-13,June,Q2,Healthcare,Medical Insurance,Expense,2500,Auto Debit,Mumbai,
2024-06-14,June,Q2,Travel,Weekend Trip,Expense,12000,Credit Card,Pune,
2024-06-15,June,Q2,Education,CMA Course Fees,Expense,8000,Credit Card,Mumbai,
2024-06-16,June,Q2,Entertainment,OTT Subscriptions,Expense,649,Credit Card,Mumbai,
2024-06-17,June,Q2,Shopping,Gifts,Expense,3200,Credit Card,Mumbai,Fathers Day
2024-06-18,June,Q2,Investments,SIP Mutual Fund,Expense,12000,Auto Debit,Mumbai,
2024-06-19,June,Q2,Investments,PPF,Expense,5000,Bank Transfer,Mumbai,
2024-06-20,June,Q2,Personal Care,Grooming,Expense,750,UPI,Mumbai,
2024-06-21,June,Q2,Savings,Emergency Fund,Expense,4000,Bank Transfer,Mumbai,
2024-07-05,July,Q3,Salary,Monthly Salary,Income,92000,Bank Transfer,Mumbai,Increment received
2024-07-06,July,Q3,Freelance,Web Consulting,Income,14000,UPI,Mumbai,
2024-07-03,July,Q3,Housing,Rent,Expense,22000,Bank Transfer,Mumbai,
2024-07-05,July,Q3,Housing,Electricity Bill,Expense,2900,UPI,Mumbai,
2024-07-06,July,Q3,Housing,Internet,Expense,999,Auto Debit,Mumbai,
2024-07-07,July,Q3,Food,Groceries,Expense,7500,UPI,Mumbai,
2024-07-08,July,Q3,Food,Dining Out,Expense,4800,Credit Card,Mumbai,
2024-07-09,July,Q3,Food,Food Delivery,Expense,2700,UPI,Mumbai,
2024-07-10,July,Q3,Transport,Metro Pass,Expense,500,UPI,Mumbai,
2024-07-11,July,Q3,Transport,Cab/Auto,Expense,2300,UPI,Mumbai,
2024-07-12,July,Q3,Transport,Fuel,Expense,3000,Cash,Mumbai,
2024-07-13,July,Q3,Healthcare,Medical Insurance,Expense,2500,Auto Debit,Mumbai,
2024-07-14,July,Q3,Healthcare,Dentist,Expense,3500,Cash,Mumbai,
2024-07-15,July,Q3,Education,CMA Course Fees,Expense,8000,Credit Card,Mumbai,
2024-07-16,July,Q3,Entertainment,OTT Subscriptions,Expense,649,Credit Card,Mumbai,
2024-07-17,July,Q3,Entertainment,Movies,Expense,1200,UPI,Mumbai,
2024-07-18,July,Q3,Shopping,Clothing,Expense,4200,Credit Card,Mumbai,
2024-07-19,July,Q3,Investments,SIP Mutual Fund,Expense,15000,Auto Debit,Mumbai,Post increment
2024-07-20,July,Q3,Investments,PPF,Expense,5000,Bank Transfer,Mumbai,
2024-07-21,July,Q3,Investments,Stocks,Expense,12000,Bank Transfer,Mumbai,
2024-07-22,July,Q3,Personal Care,Grooming,Expense,900,UPI,Mumbai,
2024-07-23,July,Q3,Savings,Emergency Fund,Expense,5000,Bank Transfer,Mumbai,
2024-08-05,August,Q3,Salary,Monthly Salary,Income,92000,Bank Transfer,Mumbai,
2024-08-06,August,Q3,Freelance,Content Writing,Income,9000,UPI,Mumbai,
2024-08-07,August,Q3,Investments,Dividend Income,Income,6200,Bank Transfer,Mumbai,
2024-08-03,August,Q3,Housing,Rent,Expense,22000,Bank Transfer,Mumbai,
2024-08-05,August,Q3,Housing,Electricity Bill,Expense,2600,UPI,Mumbai,
2024-08-06,August,Q3,Housing,Internet,Expense,999,Auto Debit,Mumbai,
2024-08-07,August,Q3,Food,Groceries,Expense,6900,UPI,Mumbai,
2024-08-08,August,Q3,Food,Dining Out,Expense,5500,Credit Card,Mumbai,
2024-08-09,August,Q3,Food,Food Delivery,Expense,3200,UPI,Mumbai,
2024-08-10,August,Q3,Transport,Metro Pass,Expense,500,UPI,Mumbai,
2024-08-11,August,Q3,Transport,Cab/Auto,Expense,2100,UPI,Mumbai,
2024-08-12,August,Q3,Transport,Fuel,Expense,3100,Cash,Mumbai,
2024-08-13,August,Q3,Healthcare,Medical Insurance,Expense,2500,Auto Debit,Mumbai,
2024-08-14,August,Q3,Travel,Family Trip,Expense,25000,Credit Card,Shimla,Annual trip
2024-08-15,August,Q3,Education,CMA Course Fees,Expense,8000,Credit Card,Mumbai,
2024-08-16,August,Q3,Education,Books,Expense,1800,UPI,Mumbai,
2024-08-17,August,Q3,Entertainment,OTT Subscriptions,Expense,649,Credit Card,Mumbai,
2024-08-18,August,Q3,Shopping,Electronics,Expense,0,Credit Card,Mumbai,
2024-08-19,August,Q3,Investments,SIP Mutual Fund,Expense,15000,Auto Debit,Mumbai,
2024-08-20,August,Q3,Investments,PPF,Expense,5000,Bank Transfer,Mumbai,
2024-08-21,August,Q3,Personal Care,Grooming,Expense,800,UPI,Mumbai,
2024-08-22,August,Q3,Savings,Emergency Fund,Expense,4000,Bank Transfer,Mumbai,
2024-09-05,September,Q3,Salary,Monthly Salary,Income,92000,Bank Transfer,Mumbai,
2024-09-06,September,Q3,Freelance,Web Consulting,Income,20000,UPI,Mumbai,
2024-09-03,September,Q3,Housing,Rent,Expense,22000,Bank Transfer,Mumbai,
2024-09-05,September,Q3,Housing,Electricity Bill,Expense,2200,UPI,Mumbai,
2024-09-06,September,Q3,Housing,Internet,Expense,999,Auto Debit,Mumbai,
2024-09-07,September,Q3,Food,Groceries,Expense,7100,UPI,Mumbai,
2024-09-08,September,Q3,Food,Dining Out,Expense,6200,Credit Card,Mumbai,Ganesh festival
2024-09-09,September,Q3,Food,Food Delivery,Expense,2900,UPI,Mumbai,
2024-09-10,September,Q3,Transport,Metro Pass,Expense,500,UPI,Mumbai,
2024-09-11,September,Q3,Transport,Cab/Auto,Expense,2500,UPI,Mumbai,
2024-09-12,September,Q3,Transport,Fuel,Expense,3200,Cash,Mumbai,
2024-09-13,September,Q3,Healthcare,Medical Insurance,Expense,2500,Auto Debit,Mumbai,
2024-09-14,September,Q3,Education,CMA Course Fees,Expense,8000,Credit Card,Mumbai,
2024-09-15,September,Q3,Entertainment,OTT Subscriptions,Expense,649,Credit Card,Mumbai,
2024-09-16,September,Q3,Entertainment,Events,Expense,4500,Credit Card,Mumbai,Ganesh festival
2024-09-17,September,Q3,Shopping,Clothing,Expense,6500,Credit Card,Mumbai,Festive shopping
2024-09-18,September,Q3,Shopping,Gifts,Expense,4000,Credit Card,Mumbai,Festival gifts
2024-09-19,September,Q3,Investments,SIP Mutual Fund,Expense,15000,Auto Debit,Mumbai,
2024-09-20,September,Q3,Investments,PPF,Expense,5000,Bank Transfer,Mumbai,
2024-09-21,September,Q3,Investments,Stocks,Expense,15000,Bank Transfer,Mumbai,
2024-09-22,September,Q3,Personal Care,Grooming,Expense,1000,UPI,Mumbai,
2024-09-23,September,Q3,Savings,Emergency Fund,Expense,3000,Bank Transfer,Mumbai,
2024-10-05,October,Q4,Salary,Monthly Salary,Income,92000,Bank Transfer,Mumbai,
2024-10-06,October,Q4,Freelance,Data Analysis,Income,25000,UPI,Mumbai,Big project
2024-10-07,October,Q4,Investments,Dividend Income,Income,7500,Bank Transfer,Mumbai,
2024-10-03,October,Q4,Housing,Rent,Expense,22000,Bank Transfer,Mumbai,
2024-10-05,October,Q4,Housing,Electricity Bill,Expense,1900,UPI,Mumbai,
2024-10-06,October,Q4,Housing,Internet,Expense,999,Auto Debit,Mumbai,
2024-10-07,October,Q4,Food,Groceries,Expense,8200,UPI,Mumbai,Diwali snacks
2024-10-08,October,Q4,Food,Dining Out,Expense,8500,Credit Card,Mumbai,Diwali celebrations
2024-10-09,October,Q4,Food,Food Delivery,Expense,3800,UPI,Mumbai,
2024-10-10,October,Q4,Transport,Metro Pass,Expense,500,UPI,Mumbai,
2024-10-11,October,Q4,Transport,Cab/Auto,Expense,2800,UPI,Mumbai,
2024-10-12,October,Q4,Transport,Fuel,Expense,3500,Cash,Mumbai,
2024-10-13,October,Q4,Healthcare,Medical Insurance,Expense,2500,Auto Debit,Mumbai,
2024-10-14,October,Q4,Education,CMA Exam Fees,Expense,15000,Credit Card,Mumbai,Part 2 exam
2024-10-15,October,Q4,Entertainment,OTT Subscriptions,Expense,649,Credit Card,Mumbai,
2024-10-16,October,Q4,Shopping,Clothing,Expense,12000,Credit Card,Mumbai,Diwali clothes
2024-10-17,October,Q4,Shopping,Gifts,Expense,9500,Credit Card,Mumbai,Diwali gifts
2024-10-18,October,Q4,Shopping,Electronics,Expense,18000,Credit Card,Mumbai,Diwali sale
2024-10-19,October,Q4,Travel,Weekend Trip,Expense,6000,Credit Card,Pune,
2024-10-20,October,Q4,Investments,SIP Mutual Fund,Expense,15000,Auto Debit,Mumbai,
2024-10-21,October,Q4,Investments,PPF,Expense,5000,Bank Transfer,Mumbai,
2024-10-22,October,Q4,Personal Care,Grooming,Expense,1200,UPI,Mumbai,
2024-10-23,October,Q4,Savings,Emergency Fund,Expense,2000,Bank Transfer,Mumbai,
2024-11-05,November,Q4,Salary,Monthly Salary,Income,92000,Bank Transfer,Mumbai,
2024-11-06,November,Q4,Freelance,Web Consulting,Income,16000,UPI,Mumbai,
2024-11-03,November,Q4,Housing,Rent,Expense,22000,Bank Transfer,Mumbai,
2024-11-05,November,Q4,Housing,Electricity Bill,Expense,1700,UPI,Mumbai,
2024-11-06,November,Q4,Housing,Internet,Expense,999,Auto Debit,Mumbai,
2024-11-07,November,Q4,Food,Groceries,Expense,6800,UPI,Mumbai,
2024-11-08,November,Q4,Food,Dining Out,Expense,4500,Credit Card,Mumbai,
2024-11-09,November,Q4,Food,Food Delivery,Expense,2600,UPI,Mumbai,
2024-11-10,November,Q4,Transport,Metro Pass,Expense,500,UPI,Mumbai,
2024-11-11,November,Q4,Transport,Cab/Auto,Expense,2000,UPI,Mumbai,
2024-11-12,November,Q4,Transport,Fuel,Expense,2800,Cash,Mumbai,
2024-11-13,November,Q4,Healthcare,Medical Insurance,Expense,2500,Auto Debit,Mumbai,
2024-11-14,November,Q4,Healthcare,Annual Checkup,Expense,4500,Cash,Mumbai,
2024-11-15,November,Q4,Education,CMA Course Fees,Expense,8000,Credit Card,Mumbai,
2024-11-16,November,Q4,Education,Online Course,Expense,1999,Credit Card,Mumbai,Power BI advanced
2024-11-17,November,Q4,Entertainment,OTT Subscriptions,Expense,649,Credit Card,Mumbai,
2024-11-18,November,Q4,Shopping,Clothing,Expense,3500,Credit Card,Mumbai,
2024-11-19,November,Q4,Investments,SIP Mutual Fund,Expense,15000,Auto Debit,Mumbai,
2024-11-20,November,Q4,Investments,PPF,Expense,5000,Bank Transfer,Mumbai,
2024-11-21,November,Q4,Investments,Stocks,Expense,18000,Bank Transfer,Mumbai,
2024-11-22,November,Q4,Personal Care,Grooming,Expense,850,UPI,Mumbai,
2024-11-23,November,Q4,Savings,Emergency Fund,Expense,5000,Bank Transfer,Mumbai,
2024-12-05,December,Q4,Salary,Monthly Salary,Income,92000,Bank Transfer,Mumbai,
2024-12-06,December,Q4,Freelance,Data Analysis,Income,30000,UPI,Mumbai,Year end project
2024-12-07,December,Q4,Investments,Dividend Income,Income,8800,Bank Transfer,Mumbai,
2024-12-08,December,Q4,Salary,Annual Bonus,Income,40000,Bank Transfer,Mumbai,Year end bonus
2024-12-03,December,Q4,Housing,Rent,Expense,22000,Bank Transfer,Mumbai,
2024-12-05,December,Q4,Housing,Electricity Bill,Expense,1500,UPI,Mumbai,
2024-12-06,December,Q4,Housing,Internet,Expense,999,Auto Debit,Mumbai,
2024-12-07,December,Q4,Food,Groceries,Expense,7500,UPI,Mumbai,
2024-12-08,December,Q4,Food,Dining Out,Expense,9500,Credit Card,Mumbai,Year end parties
2024-12-09,December,Q4,Food,Food Delivery,Expense,3500,UPI,Mumbai,
2024-12-10,December,Q4,Transport,Metro Pass,Expense,500,UPI,Mumbai,
2024-12-11,December,Q4,Transport,Cab/Auto,Expense,2500,UPI,Mumbai,
2024-12-12,December,Q4,Transport,Fuel,Expense,3000,Cash,Mumbai,
2024-12-13,December,Q4,Healthcare,Medical Insurance,Expense,2500,Auto Debit,Mumbai,
2024-12-14,December,Q4,Travel,Holiday Trip,Expense,35000,Credit Card,Kerala,Year end vacation
2024-12-15,December,Q4,Education,CMA Course Fees,Expense,8000,Credit Card,Mumbai,
2024-12-16,December,Q4,Entertainment,OTT Subscriptions,Expense,649,Credit Card,Mumbai,
2024-12-17,December,Q4,Entertainment,New Year Party,Expense,6500,Credit Card,Mumbai,
2024-12-18,December,Q4,Shopping,Clothing,Expense,8000,Credit Card,Mumbai,New Year outfits
2024-12-19,December,Q4,Shopping,Gifts,Expense,7000,Credit Card,Mumbai,Christmas gifts
2024-12-20,December,Q4,Investments,SIP Mutual Fund,Expense,15000,Auto Debit,Mumbai,
2024-12-21,December,Q4,Investments,PPF,Expense,5000,Bank Transfer,Mumbai,
2024-12-22,December,Q4,Investments,Stocks,Expense,20000,Bank Transfer,Mumbai,Year end portfolio
2024-12-23,December,Q4,Personal Care,Grooming,Expense,1100,UPI,Mumbai,
2024-12-24,December,Q4,Savings,Emergency Fund,Expense,8000,Bank Transfer,Mumbai,Year end savings push
